"api","safari","chrome","firefox",
"Console#warn","TRUE","FALSE","FALSE",
"CookieChangeEvent#changed","FALSE","TRUE","FALSE",
"CookieChangeEvent#deleted","FALSE","TRUE","FALSE",
"CookieStore#delete","FALSE","TRUE","FALSE",
"CookieStore#get","FALSE","TRUE","FALSE",
"CookieStore#getAll","FALSE","TRUE","FALSE",
"cookieStore#onchange","FALSE","TRUE","FALSE",
"CookieStore#onchange","FALSE","TRUE","FALSE",
"CookieStore#set","FALSE","TRUE","FALSE",
"CookieStoreManager#getSubscriptions","FALSE","TRUE","FALSE",
"CookieStoreManager#subscribe","FALSE","TRUE","FALSE",
"CookieStoreManager#unsubscribe","FALSE","TRUE","FALSE",
"Counter#identifier","TRUE","FALSE","FALSE",
"Counter#listStyle","TRUE","FALSE","FALSE",
"Counter#separator","TRUE","FALSE","FALSE",
"CountQueuingStrategy#highWaterMark","FALSE","TRUE","FALSE",
"CSS#ch","FALSE","TRUE","FALSE",
"CSS#cm","FALSE","TRUE","FALSE",
"CSS#deg","FALSE","TRUE","FALSE",
"CSS#dpcm","FALSE","TRUE","FALSE",
"CSS#dpi","FALSE","TRUE","FALSE",
"CSS#dppx","FALSE","TRUE","FALSE",
"CSS#em","FALSE","TRUE","FALSE",
"CSS#ex","FALSE","TRUE","FALSE",
"CSS#fr","FALSE","TRUE","FALSE",
"CSS#grad","FALSE","TRUE","FALSE",
"CSS#Hz","FALSE","TRUE","FALSE",
"CSS#in","FALSE","TRUE","FALSE",
"CSS#kHz","FALSE","TRUE","FALSE",
"CSS#length","FALSE","FALSE","TRUE",
"CSS#mm","FALSE","TRUE","FALSE",
"CSS#ms","FALSE","TRUE","FALSE",
"CSS#name","FALSE","FALSE","TRUE",
"CSS#number","FALSE","TRUE","FALSE",
"CSS#paintWorklet","FALSE","TRUE","FALSE",
"CSS#pc","FALSE","TRUE","FALSE",
"CSS#percent","FALSE","TRUE","FALSE",
"CSS#pt","FALSE","TRUE","FALSE",
"CSS#px","FALSE","TRUE","FALSE",
"CSS#Q","FALSE","TRUE","FALSE",
"CSS#rad","FALSE","TRUE","FALSE",
"CSS#registerProperty","FALSE","TRUE","FALSE",
"CSS#rem","FALSE","TRUE","FALSE",
"CSS#s","FALSE","TRUE","FALSE",
"CSS#turn","FALSE","TRUE","FALSE",
"CSS#vh","FALSE","TRUE","FALSE",
"CSS#vmax","FALSE","TRUE","FALSE",
"CSS#vmin","FALSE","TRUE","FALSE",
"CSS#vw","FALSE","TRUE","FALSE",
"CSSCounterStyleRule#additiveSymbols","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#fallback","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#name","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#negative","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#pad","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#prefix","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#range","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#speakAs","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#suffix","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#symbols","FALSE","FALSE","TRUE",
"CSSCounterStyleRule#system","FALSE","FALSE","TRUE",
"CSSFontFeatureValuesRule#fontFamily","FALSE","FALSE","TRUE",
"CSSFontFeatureValuesRule#valueText","FALSE","FALSE","TRUE",
"CSSKeyframesRule#insertRule","TRUE","FALSE","FALSE",
"CSSKeywordValue#value","FALSE","TRUE","FALSE",
"CSSMathInvert#value","FALSE","TRUE","FALSE",
"CSSMathMax#values","FALSE","TRUE","FALSE",
"CSSMathMin#values","FALSE","TRUE","FALSE",
"CSSMathNegate#value","FALSE","TRUE","FALSE",
"CSSMathProduct#values","FALSE","TRUE","FALSE",
"CSSMathSum#values","FALSE","TRUE","FALSE",
"CSSMathValue#operator","FALSE","TRUE","FALSE",
"CSSMatrixComponent#matrix","FALSE","TRUE","FALSE",
"CSSMediaRule#cssRules","TRUE","FALSE","FALSE",
"CSSMediaRule#deleteRule","TRUE","FALSE","FALSE",
"CSSMediaRule#insertRule","TRUE","FALSE","FALSE",
"CSSNumericArray#entries","FALSE","TRUE","FALSE",
"CSSNumericArray#forEach","FALSE","TRUE","FALSE",
"CSSNumericArray#keys","FALSE","TRUE","FALSE",
"CSSNumericArray#length","FALSE","TRUE","FALSE",
"CSSNumericArray#values","FALSE","TRUE","FALSE",
"CSSNumericValue#add","FALSE","TRUE","FALSE",
"CSSNumericValue#div","FALSE","TRUE","FALSE",
"CSSNumericValue#equals","FALSE","TRUE","FALSE",
"CSSNumericValue#max","FALSE","TRUE","FALSE",
"CSSNumericValue#min","FALSE","TRUE","FALSE",
"CSSNumericValue#mul","FALSE","TRUE","FALSE",
"CSSNumericValue#parse","FALSE","TRUE","FALSE",
"CSSNumericValue#sub","FALSE","TRUE","FALSE",
"CSSNumericValue#to","FALSE","TRUE","FALSE",
"CSSNumericValue#toSum","FALSE","TRUE","FALSE",
"CSSNumericValue#type","FALSE","TRUE","FALSE",
"CSSPerspective#length","FALSE","TRUE","FALSE",
"CSSPositionValue#x","FALSE","TRUE","FALSE",
"CSSPositionValue#y","FALSE","TRUE","FALSE",
"CSSPrimitiveValue#getCounterValue","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#getFloatValue","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#getRectValue","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#getRGBColorValue","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#getStringValue","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#primitiveType","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#setFloatValue","TRUE","FALSE","FALSE",
"CSSPrimitiveValue#setStringValue","TRUE","FALSE","FALSE",
"CSSPropertyRule#inherits","FALSE","TRUE","FALSE",
"CSSPropertyRule#initialValue","FALSE","TRUE","FALSE",
"CSSPropertyRule#name","FALSE","TRUE","FALSE",
"CSSPropertyRule#syntax","FALSE","TRUE","FALSE",
"CSSRotate#angle","FALSE","TRUE","FALSE",
"CSSRotate#x","FALSE","TRUE","FALSE",
"CSSRotate#y","FALSE","TRUE","FALSE",
"CSSRotate#z","FALSE","TRUE","FALSE",
"CSSScale#x","FALSE","TRUE","FALSE",
"CSSScale#y","FALSE","TRUE","FALSE",
"CSSScale#z","FALSE","TRUE","FALSE",
"CSSSkew#ax","FALSE","TRUE","FALSE",
"CSSSkew#ay","FALSE","TRUE","FALSE",
"CSSSkewX#ax","FALSE","TRUE","FALSE",
"CSSSkewY#ay","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#alt","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#appleColorFilter","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#applePayButtonStyle","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#applePayButtonType","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#appleTrailingWord","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#ascentOverride","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#backdropFilter","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#borderEndEndRadius","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#borderEndStartRadius","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#borderStartEndRadius","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#borderStartStartRadius","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#boxDecorationBreak","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#colorAdjust","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#colorProfile","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#containIntrinsicSize","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#contentVisibility","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#d","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#descentOverride","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#enableBackground","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#epubCaptionSide","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubTextCombine","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubTextEmphasis","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubTextEmphasisColor","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubTextEmphasisStyle","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubTextOrientation","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubTextTransform","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubWordBreak","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#epubWritingMode","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#fontLanguageOverride","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#fontSizeAdjust","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#getPropertyCSSValue","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#getPropertyShorthand","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#glyphOrientationHorizontal","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#glyphOrientationVertical","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#hangingPunctuation","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#imeMode","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#inherits","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#initialValue","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#internalTextAutosizingStatus","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#isPropertyImplicit","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#kerning","TRUE","FALSE","FALSE",
"CSSStyleDeclaration#lineGapOverride","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#maskClip","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskComposite","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskImage","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskMode","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskOrigin","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskPosition","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskPositionX","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskPositionY","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskRepeat","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maskSize","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#maxZoom","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#minZoom","FALSE","TRUE","FALSE",
"CSSStyleDeclaration#MozAnimation","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationDelay","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationDirection","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationDuration","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationFillMode","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationIterationCount","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationName","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationPlayState","FALSE","FALSE","TRUE",
"CSSStyleDeclaration#MozAnimationTimingFunction","FALSE","FALSE","TRUE",
